name,description,link,facebook,linkedin,instagram,youtube,website
3-D Printing Club,The purpose of the Penn State 3-D Printing Club is to provide students with the means and opportunity to construct and work with open source 3-D printers and projects associated with 3-D printers.,https://orgcentral.psu.edu/organization/3dprintingclub,https://www.facebook.com/groups,N/A,https://www.instagram.com/psu3dpc,N/A,http://sites.psu.edu/3dprintingclub
A-7,To provide an intimate family atmosphere for Penn State students to promote and fundraise for the Interfraternity Council and Panhellenic Dance Marathon.,https://orgcentral.psu.edu/organization/a-7,https://www.facebook.com/A7ForTheKids,N/A,https://www.instagram.com/a7.psu,N/A,https://go.microsoft.com/fwlink
Acacia,"A Greek fraternity part of the Interfraternity Council (IFC). Acacia focuses on community service and involvement, professional development, academic excellence, and brotherhood.",https://orgcentral.psu.edu/organization/acacia,N/A,N/A,https://www.instagram.com/acaciapennstate,N/A,https://go.microsoft.com/fwlink
Academy Health Student Chapter,To acquaint students with the fields of health services research and health policy. To provide learning opportunities through interaction with health services research and health policy practitioners.,https://orgcentral.psu.edu/organization/academy-health-student-chapter,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Accounting Society,Stimulates the interests of the University in various accounting fields and presents the students with experienced viewpoints from the business world. Join our Flare Groupchat&nbsp;https://flare-event.app.link/wFId9gvgxQb,https://orgcentral.psu.edu/organization/accounting-society,N/A,https://www.linkedin.com/company/pennstateaccountingsociety,https://www.instagram.com/psuacctgsociety,N/A,https://go.microsoft.com/fwlink
Aces Dance Crew,"The purpose of the ACEs Dance Crew is to bring people who like street dancing, such as Hip-Hop, Breaking, MV performance and Contemporary, together, have fun and progress.",https://orgcentral.psu.edu/organization/aces-dance-crew,N/A,N/A,https://www.instagram.com/aces_dance_crew,N/A,https://go.microsoft.com/fwlink
Acoustical Society of America - Penn State Student Chapter,"To stimulate interest in acoustics, encourage acoustical research, diffuse knowledge of acoustics, promote its practical applications, and provide a forum wherein the many aspects of acoustics and related disciplines can b...",https://orgcentral.psu.edu/organization/psuasa,https://www.facebook.com/PennStateASA,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Actuarial Science Club,"Helps actuarial science students to grow professionally and technically, pass actuarial exams, and secure jobs and internships.",https://orgcentral.psu.edu/organization/actsciclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Adult Education Graduate Student Association,The purpose of the Adult Education Graduate Student Association is to provide students within the adult education program with a forum to discuss and research new advances in the field of adult education. The Adult Educati...,https://orgcentral.psu.edu/organization/aegsa,N/A,N/A,N/A,N/A,http://www.clubs.psu.edu/up
Adult Learners,"Adult Learners at Penn State is a student organization that seeks to support and enhance the educational and developmental experiences of the adult learner, as defined by Penn State, to facilitate a sense of belonging/ease the integration in campus life.",https://orgcentral.psu.edu/organization/adultlearnersps,https://www.facebook.com/PSUALPS,N/A,N/A,N/A,https://sites.psu.edu/ALPS
Advanced Vehicle Team,We are in the second year towards building a Level 4 self-driving car by June 2025! Part of the AutoDrive II Challenge sponsored by GM and SAE. Also working on a Camaro engine swap. Check our website (avt.psu.edu) for more info and how to get involved!,https://orgcentral.psu.edu/organization/advanced-vehicle-team,N/A,https://www.linkedin.com/company/psu-avt,http://www.instagram.com/psuavt,N/A,https://go.microsoft.com/fwlink
Adventist Campus Ministries,"Provides a place for Adventists/Non-Adventist to discuss in depth aspects of the Bible; promotes spiritual growth, both personal and corporate.",https://orgcentral.psu.edu/organization/psuacm,https://www.facebook.com/acmpsu,N/A,https://instagram.com/acm_psu,N/A,http://www.clubs.psu.edu/up
Advertising and Public Relations Club,"Provides and promotes a better understanding of the function and values of advertising, and stimulates and encourages advertising professionalism through advertising education. Our goal is to educate and guide students in The College of Communications.",https://orgcentral.psu.edu/organization/adclub,https://www.facebook.com/PennStateADPRClub,https://www.linkedin.com/company/penn-state-ad-pr-club,https://instagram.com/pennstateadprclub,N/A,https://go.microsoft.com/fwlink
Aero Design,The purpose of the Penn State Aero Design club is to create a design environment where students can design and build remote control aircraft and compete in national or international competitions.,https://orgcentral.psu.edu/organization/aero-desig,N/A,N/A,N/A,N/A,https://sites.psu.edu/aerodesign
Aerospace Graduate Student Association,"The purpose of AeroGSA is to promote and to enhance graduate school life outside work/classes within the Aerospace Department. We host several professional development activities, and promote social interaction through meet &amp; greet events.",https://orgcentral.psu.edu/organization/aerogsa,N/A,N/A,N/A,N/A,http://sites.psu.edu/aerogsa
Aerospace Studies Student Organization,"To view the main page of Air Force ROTC at Penn State, please visit www.airforce.psu.edu. The mission of the Aerospace Studies Student Organization is to increase cadet engagement through professional development and morale building opportunities",https://orgcentral.psu.edu/organization/aerospace-studies-student-organization,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Afrique Fusion,Spreading the culture of Africa through dance to enhance the understanding of our African Heritage.,https://orgcentral.psu.edu/organization/afriquefusion,N/A,N/A,https://www.instagram.com/psuafriquefusion,N/A,https://go.microsoft.com/fwlink
Ag Advocates,"The Ag Advocates serve as ambassadors for the College of Agricultural Sciences, connecting with future students, alumni, and other stakeholders to share their enthusiasm for Penn State Ag and its critical role in nourishing both people and the planet.",https://orgcentral.psu.edu/organization/ag-advocates,N/A,N/A,N/A,N/A,https://agsci.psu.edu/students
Agribusiness Management/Nama Club,The Agribusiness Management/NAMA Club at Penn State is a student run organization devoted to professional and educational development specific to the food and agriculture industry. We strive every semester to create a dive...,https://orgcentral.psu.edu/organization/agribusinessmanagementclub,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Agricultural and Biological Engineering Graduate Student Council,To provide graduate representation and offer a venue for building collegiality for ABE graduate students.,https://orgcentral.psu.edu/organization/abegsc,N/A,N/A,https://www.instagram.com/psuabegsc,N/A,http://www.clubs.psu.edu/up
Agricultural Robotics Club,"Agribot fosters an interest in science, technology, engineering, and mathematics (STEM) fields. Students engage in hands-on learning, applying theoretical knowledge to practical projects, mostly related to agricultural tasks.",https://orgcentral.psu.edu/organization/agribot,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Agricultural Student Council,"Agricultural Student Council is an organization focused on unity, leadership, and professional development for the clubs in the College of Agricultural Sciences by building bridges between clubs, administration, and other colleges within Penn State.",https://orgcentral.psu.edu/organization/agricultural-student-council,N/A,N/A,https://instagram.com/psuasc,N/A,http://agsci.psu.edu/clubs
Agronomy Club,"Stimulates agronomic interest among students, and fosters a spirit of cooperation through wider acquaintances, and mutual friendships among students and the University community.",https://orgcentral.psu.edu/organization/agronomy-club,https://www.facebook.com/pennstateagronomyclub,N/A,N/A,N/A,http://agsci.psu.edu/clubs
Al-Ghadeer Association,Al-Ghadeer Association is a community for Shi'as and those interested to know more about Shia Islam in the PSU and State College area.,https://orgcentral.psu.edu/organization/al-ghadeer,https://www.facebook.com/AlGhadeerPSU,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Albanian Student Association,"The Albanian Student Association (ASA) at Penn State promotes Albanian culture, heritage, and community. We provide a welcoming space for students to connect, celebrate traditions, and share experiences. All are welcome!",https://orgcentral.psu.edu/organization/albanian_student_association,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alliance Christian Fellowship,"A Penn State campus ministry that is run by students and functions as a church away from home for anyone who wants to grow their relationship with God through worship, fellowship with like-minded students, Biblical teaching, and prayer.",https://orgcentral.psu.edu/organization/alliance-christian-fellowship,https://www.facebook.com/ACFpennstate,N/A,https://www.instagram.com/acfpennstate,N/A,https://go.microsoft.com/fwlink
Alliance of Heroic Hearts,"The purpose of AoHH is to educate, encourage, and inspire children everywhere! Our organization's volunteers dress up as Superheroes or Princesses and visit children's hospitals, schools, and community events to try and make children's days brighter.",https://orgcentral.psu.edu/organization/alliance-of-heroic-hearts,https://www.facebook.com/allianceofheroichearts,N/A,https://www.instagram.com/allianceofheroichearts,N/A,https://go.microsoft.com/fwlink
Ally House,Ally House is a special living option designed to give members of the queer community a safe and comfortable living environment.,https://orgcentral.psu.edu/organization/ally-house,N/A,https://www.linkedin.com/company/ally-house-llc,http://www.instagram.com/allyhouse.psu,N/A,https://go.microsoft.com/fwlink
Alpha Chi Rho,A Fraternity looking to recruit men of word and deed.,https://orgcentral.psu.edu/organization/alphachirho,N/A,N/A,https://www.instagram.com/axppsu,N/A,https://go.microsoft.com/fwlink
Alpha Delta Phi,"A fraternity focused on brotherhood, positive change within our community, and professional growth within ourselves.",https://orgcentral.psu.edu/organization/www-alphadeltaphi-org,https://www.facebook.com/ADPhiPSU,N/A,http://www.instagram.com/psualphadelt,N/A,https://go.microsoft.com/fwlink
Alpha Delta Pi,"Alpha Delta Pi is a Panhellenic Sorority founded on a commitment to strengthening our own character and personality, watching our attitudes towards our fellow-beings, recognizing the values of high educational standards, and developing faith and loyalty.",https://orgcentral.psu.edu/organization/alpha-delta-pi,N/A,N/A,https://www.instagram.com/adpipsu,N/A,https://go.microsoft.com/fwlink
Alpha Epsilon Delta,"AED is Penn State's &quot;pre-health toolbox.&quot; We offer professional connections and resources, service projects, and an inclusive community to support student journeys into medicine. AED is dedicated to fostering the development of future healthcare leaders.",https://orgcentral.psu.edu/organization/alphaepsilondelta,https://www.facebook.com/groups,N/A,https://www.instagram.com/aedpsu,N/A,https://go.microsoft.com/fwlink
Alpha Epsilon Honor Society Omicron Chapter,"The Alpha Epsilon Honor Society is the honor society for outstanding agricultural, biological, and food engineers.",https://orgcentral.psu.edu/organization/alphaepsilon,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
Alpha Gamma Rho,"The Purpose of Alpha Gamma Rho is to make better men, by surrounding our members with influences that encourage individual endeavor, resourcefulness, and aggressive effort.",https://orgcentral.psu.edu/organization/alphagammarho,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
"alpha Kappa Delta Phi International Sorority, Inc.","alpha Kappa Delta Phi Sorority promotes Sisterhood, Scholarship, Leadership, Service and Asian Awareness. We are the largest Asian-interest sorority, with chapters at universities across the United States and Canada.",https://orgcentral.psu.edu/organization/alpha-kappa-delta-phi-international-sorority-inc,N/A,N/A,https://www.instagram.com/psuakdphi,N/A,https://go.microsoft.com/fwlink
Alpha Kappa Lambda,"Alpha Kappa Lambda (ΑΚΛ) is an American collegiate social fraternity for men founded at the University of California, Berkeley, in 1914. Today, it operates 23 active chapters and colonies and over 27,000 initiated members.",https://orgcentral.psu.edu/organization/alpha-kappa-lambda,https://www.facebook.com/AKLpennstate,N/A,https://www.instagram.com/akl_psu,N/A,https://go.microsoft.com/fwlink
Alpha Kappa Psi,"Alpha Kappa Psi is the proud home to brothers pursuing majors in nearly every academic college! The diverse mindsets, passions, and interests among each brother has made the fraternity a community full of growth and opportunity for each individual.",https://orgcentral.psu.edu/organization/alpha-kappa-psi,N/A,N/A,N/A,N/A,https://go.microsoft.com/fwlink
